song,artist,difficulty,chart_constant,level,version
INFINITE DIMENSION,DJ Noriken × P*Light,Past,2.5,2,6.10.8
INCARNATOR₀₀,Silentroom × N²,Eternal,10.4,10,6.10.8
INCARNATOR₀₀,Silentroom × N²,Future,8.9,8+,6.10.8
INCARNATOR₀₀,Silentroom × N²,Present,6.5,6,6.10.8
INCARNATOR₀₀,Silentroom × N²,Past,3.5,3,6.10.8
MARENYX,BlackY × Aoi,Eternal,10.8,10+,6.10.8
MARENYX,BlackY × Aoi,Future,9.5,9,6.10.8
MARENYX,BlackY × Aoi,Present,7.8,7+,6.10.8
MARENYX,BlackY × Aoi,Past,4.5,4,6.10.8
zephyrlasting,s-don × nitro (lowiro),Eternal,10.3,10,6.10.8
zephyrlasting,s-don × nitro (lowiro),Future,9.5,9,6.10.8
zephyrlasting,s-don × nitro (lowiro),Present,7.5,7,6.10.8
zephyrlasting,s-don × nitro (lowiro),Past,3.5,3,6.10.8
Xterfusion,REDALiCE × t+pazolite,Eternal,10.7,10+,6.10.0
Xterfusion,REDALiCE × t+pazolite,Future,9.8,9+,6.10.0
Xterfusion,REDALiCE × t+pazolite,Present,8.3,8,6.10.0
Xterfusion,REDALiCE × t+pazolite,Past,4.5,4,6.10.0
Angel's Boundary,MEMODEMO,Future,10.2,10,6.10.0
Angel's Boundary,MEMODEMO,Present,8.5,8,6.10.0
Angel's Boundary,MEMODEMO,Past,5.0,5,6.10.0
Xxium and Purple haze,D.watt,Eternal,10.5,10,6.10.0
Xxium and Purple haze,D.watt,Future,9.9,9+,6.10.0
Xxium and Purple haze,D.watt,Present,7.8,7+,6.10.0
Xxium and Purple haze,D.watt,Past,2.5,2,6.10.0
Particle,Lime / Kankitsu,Eternal,9.7,9+,6.10.0
Particle,Lime / Kankitsu,Future,9.5,9,6.10.0
Particle,Lime / Kankitsu,Present,6.0,6,6.10.0
Particle,Lime / Kankitsu,Past,3.5,3,6.10.0
Paradox Palette,Aethoro,Eternal,9.9,9+,6.10.0
Paradox Palette,Aethoro,Future,8.8,8+,6.10.0
Paradox Palette,Aethoro,Present,7.5,7,6.10.0
Paradox Palette,Aethoro,Past,4.0,4,6.10.0
Wake in Hour,有村京悟 feat.July,Eternal,8.7,8+,6.10.0
Wake in Hour,有村京悟 feat.July,Future,7.5,7,6.10.0
Wake in Hour,有村京悟 feat.July,Present,5.5,5,6.10.0
Wake in Hour,有村京悟 feat.July,Past,2.5,2,6.10.0
mod,kalsoer,Future,9.4,9,6.10.0
mod,kalsoer,Present,6.5,6,6.10.0
mod,kalsoer,Past,3.5,3,6.10.0
ROST PAGE GENE,MYUKKE.,Future,10.3,10,6.9.0
ROST PAGE GENE,MYUKKE.,Present,8.2,8,6.9.0
ROST PAGE GENE,MYUKKE.,Past,5.0,5,6.9.0
Undying Macula,Ashrount,Eternal,11.0,11,6.9.0
Undying Macula,Ashrount,Future,10.1,10,6.9.0
Undying Macula,Ashrount,Present,8.7,8+,6.9.0
Undying Macula,Ashrount,Past,5.5,5,6.9.0
ANDORXOR,Sobrem,Eternal,10.8,10+,6.9.0
ANDORXOR,Sobrem,Future,9.9,9+,6.9.0
ANDORXOR,Sobrem,Present,7.8,7+,6.9.0
ANDORXOR,Sobrem,Past,4.5,4,6.9.0
No Way Back,Nhato,Eternal,10.4,10,6.9.0
No Way Back,Nhato,Future,8.9,8+,6.9.0
No Way Back,Nhato,Present,7.5,7,6.9.0
No Way Back,Nhato,Past,4.5,4,6.9.0
Vainspire,satella,Eternal,9.9,9+,6.9.0
Vainspire,satella,Future,8.4,8,6.9.0
Vainspire,satella,Present,7.0,7,6.9.0
Vainspire,satella,Past,3.5,3,6.9.0
Viola Illyria,Kolaa,Future,9.5,9,6.9.0
Viola Illyria,Kolaa,Present,6.5,6,6.9.0
Viola Illyria,Kolaa,Past,2.5,2,6.9.0
Eternity Break,Puru,Eternal,10.4,10,6.8.4
Eternity Break,Puru,Future,9.6,9,6.8.4
Eternity Break,Puru,Present,7.5,7,6.8.4
Eternity Break,Puru,Past,3.5,3,6.8.4
Acheron,KARUT,Future,9.7,9+,6.8.2
Acheron,KARUT,Present,7.5,7,6.8.2
Acheron,KARUT,Past,3.5,3,6.8.2
disintegration,ひゅ〜ぶ,Eternal,9.8,9+,6.8.0
disintegration,ひゅ〜ぶ,Future,8.3,8,6.8.0
disintegration,ひゅ〜ぶ,Present,6.5,6,6.8.0
disintegration,ひゅ〜ぶ,Past,4.0,4,6.8.0
AlterGate,MisoilePunch♪ ~タケノコ添え~,Future,10.7,10+,6.8.0
AlterGate,MisoilePunch♪ ~タケノコ添え~,Present,8.7,8+,6.8.0
AlterGate,MisoilePunch♪ ~タケノコ添え~,Past,5.5,5,6.8.0
"Welcome, Queen of Fiction.",打打だいず,Eternal,10.9,10+,6.8.0
"Welcome, Queen of Fiction.",打打だいず,Future,10.1,10,6.8.0
"Welcome, Queen of Fiction.",打打だいず,Present,8.5,8,6.8.0
"Welcome, Queen of Fiction.",打打だいず,Past,5.0,5,6.8.0
CHAOSBLAST,QURELESS + 柚子花,Eternal,10.5,10,6.8.0
CHAOSBLAST,QURELESS + 柚子花,Future,9.6,9,6.8.0
CHAOSBLAST,QURELESS + 柚子花,Present,7.8,7+,6.8.0
CHAOSBLAST,QURELESS + 柚子花,Past,4.5,4,6.8.0
incomplete the one,Halv feat.Kuroa*,Eternal,9.9,9+,6.8.0
incomplete the one,Halv feat.Kuroa*,Future,8.8,8+,6.8.0
incomplete the one,Halv feat.Kuroa*,Present,7.5,7,6.8.0
incomplete the one,Halv feat.Kuroa*,Past,3.5,3,6.8.0
Factorder,瀬名 feat. 梨雛,Eternal,9.6,9,6.8.0
Factorder,瀬名 feat. 梨雛,Future,8.6,8,6.8.0
Factorder,瀬名 feat. 梨雛,Present,6.5,6,6.8.0
Factorder,瀬名 feat. 梨雛,Past,2.5,2,6.8.0
Extradimensional Cosmic Phenomenon,TAKIO feat. つぐ,Eternal,11.3,11,6.7.0
Extradimensional Cosmic Phenomenon,TAKIO feat. つぐ,Future,10.6,10,6.7.0
Extradimensional Cosmic Phenomenon,TAKIO feat. つぐ,Present,8.8,8+,6.7.0
Extradimensional Cosmic Phenomenon,TAKIO feat. つぐ,Past,6.5,6,6.7.0
Lilly,Juggernaut.,Eternal,10.8,10+,6.7.0
Lilly,Juggernaut.,Future,9.9,9+,6.7.0
Lilly,Juggernaut.,Present,8.4,8,6.7.0
Lilly,Juggernaut.,Past,5.0,5,6.7.0
Scarlet Lunar Empress,technoplanet feat. 夕月ティア,Future,9.8,9+,6.7.0
Scarlet Lunar Empress,technoplanet feat. 夕月ティア,Present,7.0,7,6.7.0
Scarlet Lunar Empress,technoplanet feat. 夕月ティア,Past,3.5,3,6.7.0
Dual Dependency,seatrus,Eternal,10.4,10,6.7.0
Dual Dependency,seatrus,Future,9.5,9,6.7.0
Dual Dependency,seatrus,Present,7.8,7+,6.7.0
Dual Dependency,seatrus,Past,4.5,4,6.7.0
See the Lights!,polysha feat. しろさきあや,Eternal,9.6,9,6.7.0
See the Lights!,polysha feat. しろさきあや,Future,8.6,8,6.7.0
See the Lights!,polysha feat. しろさきあや,Present,6.5,6,6.7.0
See the Lights!,polysha feat. しろさきあや,Past,3.5,3,6.7.0
Dematerialized,In Love With A Ghost,Eternal,8.3,8,6.7.0
Dematerialized,In Love With A Ghost,Future,7.5,7,6.7.0
Dematerialized,In Love With A Ghost,Present,4.5,4,6.7.0
Dematerialized,In Love With A Ghost,Past,1.5,1,6.7.0
SATISFACTION,P*Light & DJ Noriken feat. KMNZ,Eternal,9.5,9,6.6.0
SATISFACTION,P*Light & DJ Noriken feat. KMNZ,Future,8.5,8,6.6.0
SATISFACTION,P*Light & DJ Noriken feat. KMNZ,Present,6.5,6,6.6.0
SATISFACTION,P*Light & DJ Noriken feat. KMNZ,Past,3.5,3,6.6.0
Someday,NieN,Future,9.5,9,6.6.0
Someday,NieN,Present,6.5,6,6.6.0
Someday,NieN,Past,3.0,3,6.6.0
Miles,Electronic Boutique,Eternal,9.8,9+,6.6.0
Miles,Electronic Boutique,Future,8.2,8,6.6.0
Miles,Electronic Boutique,Present,6.5,6,6.6.0
Miles,Electronic Boutique,Past,3.5,3,6.6.0
I want You,Lin-G,Eternal,9.4,9,6.6.0
I want You,Lin-G,Future,8.3,8,6.6.0
I want You,Lin-G,Present,5.5,5,6.6.0
I want You,Lin-G,Past,3.0,3,6.6.0
Syriana,BEXTER,Future,9.9,9+,6.6.0
Syriana,BEXTER,Present,7.5,7,6.6.0
Syriana,BEXTER,Past,4.5,4,6.6.0
Liar,zts,Future,10.0,10,6.6.0
Liar,zts,Present,7.8,7+,6.6.0
Liar,zts,Past,4.5,4,6.6.0
BlythE,M2U,Eternal,10.5,10,6.6.0
BlythE,M2U,Future,9.4,9,6.6.0
BlythE,M2U,Present,7.5,7,6.6.0
BlythE,M2U,Past,3.5,3,6.6.0
We're All Gonna Die,Paul Bazooka,Eternal,10.9,10+,6.6.0
We're All Gonna Die,Paul Bazooka,Future,10.1,10,6.6.0
We're All Gonna Die,Paul Bazooka,Present,8.0,8,6.6.0
We're All Gonna Die,Paul Bazooka,Past,5.5,5,6.6.0
Nightmare,M2U,Eternal,10.8,10+,6.5.0
OBLIVION,ESTi,Eternal,10.1,10,6.5.0
Don't Die,Paul Bazooka,Eternal,10.1,10,6.5.0
Tic! Tac! Toe!,TAK x Corbin,Eternal,9.9,9+,6.5.0
U.A.D,HAYAKO,Eternal,9.8,9+,6.5.0
Nightmare,M2U,Future,9.8,9+,6.5.0
Won't Back Down,Pure 100% / KASA,Future,9.8,9+,6.5.0
End of The Moonlight,Forte Escape,Future,9.5,9,6.5.0
OBLIVION,ESTi,Future,9.5,9,6.5.0
Don't Die,Paul Bazooka,Future,9.4,9,6.5.0
Ladymade Star,ESTi,Eternal,9.2,9,6.5.0
Tic! Tac! Toe!,TAK x Corbin,Future,8.8,8+,6.5.0
U.A.D,HAYAKO,Future,8.7,8+,6.5.0
Ladymade Star,ESTi,Future,8.4,8,6.5.0
Nightmare,M2U,Present,7.8,7,6.5.0
Tic! Tac! Toe!,TAK x Corbin,Present,7.5,7,6.5.0
OBLIVION,ESTi,Present,7.0,7,6.5.0
Don't Die,Paul Bazooka,Present,7.0,7,6.5.0
U.A.D,HAYAKO,Present,6.5,6,6.5.0
Ladymade Star,ESTi,Present,6.5,6,6.5.0
Won't Back Down,Pure 100% / KASA,Present,6.5,6,6.5.0
End of The Moonlight,Forte Escape,Present,5.5,5,6.5.0
Nightmare,M2U,Past,4.5,4,6.5.0
OBLIVION,ESTi,Past,4.0,4,6.5.0
U.A.D,HAYAKO,Past,3.5,3,6.5.0
Tic! Tac! Toe!,TAK x Corbin,Past,3.5,3,6.5.0
Don't Die,Paul Bazooka,Past,3.5,3,6.5.0
Won't Back Down,Pure 100% / KASA,Past,3.5,3,6.5.0
End of The Moonlight,Forte Escape,Past,3.0,3,6.5.0
Ladymade Star,ESTi,Past,2.5,2,6.5.0
Nhelv,Silentroom,Beyond,10.9,10+,6.4.0
Dull Blade,stuv,Future,10.5,10,6.4.0
ENERGY SYNERGY MATRIX,Tanchiky,Beyond,10.3,10,6.4.0
Altale,Sakuzyo,Beyond,10.0,10,6.4.0
Anökumene,Jun Kuroda,Beyond,9.9,9+,6.4.0
Snow White,Puru,Beyond,9.7,9+,6.4.0
τ (tau),Wooden,Future,9.7,9+,6.4.0
Dull Blade,stuv,Present,8.0,8,6.4.0
τ (tau),Wooden,Present,7.8,7+,6.4.0
Dull Blade,stuv,Past,4.5,4,6.4.0
τ (tau),Wooden,Past,4.5,4,6.4.0
TRPNO,Nauts,Future,10.0,10,6.3.2
Shinchoku Doudesuka?,sumijun feat. ななひら,Eternal,9.9,9+,6.3.2
Black Mirror on the Wall,暁Records,Eternal,9.7,9+,6.3.2
Shinchoku Doudesuka?,sumijun feat. ななひら,Future,8.8,8+,6.3.2
Black Mirror on the Wall,暁Records,Future,8.6,8,6.3.2
TRPNO,Nauts,Present,7.8,7+,6.3.2
Shinchoku Doudesuka?,sumijun feat. ななひら,Present,7.5,7,6.3.2
Black Mirror on the Wall,暁Records,Present,6.5,6,6.3.2
TRPNO,Nauts,Past,4.5,4,6.3.2
Black Mirror on the Wall,暁Records,Past,3.5,3,6.3.2
Shinchoku Doudesuka?,sumijun feat. ななひら,Past,3.5,3,6.3.2
MEGALOVANIA (Camellia Remix),Camellia,Eternal,10.9,10+,6.3.0
MEGALOVANIA,Toby Fox,Eternal,10.5,10,6.3.0
Placebo♥Battler,OSTER project,Future,10.4,10,6.3.0
Your Best Nightmare,Toby Fox,Beyond,10.2,10,6.3.0
MEGALOVANIA (Camellia Remix),Camellia,Future,9.8,9+,6.3.0
Last Goodbye,Toby Fox,Eternal,9.7,9+,6.3.0
MEGALOVANIA,Toby Fox,Future,9.5,9,6.3.0
Death By Glamour,Toby Fox,Eternal,9.4,9,6.3.0
Your Best Nightmare,Toby Fox,Future,8.9,8+,6.3.0
Heartache,Toby Fox,Eternal,8.7,8+,6.3.0
MEGALOVANIA (Camellia Remix),Camellia,Present,8.4,8,6.3.0
Placebo♥Battler,OSTER project,Present,8.3,8,6.3.0
Last Goodbye,Toby Fox,Future,8.2,8,6.3.0
Death By Glamour,Toby Fox,Future,7.8,7+,6.3.0
Heartache,Toby Fox,Future,7.5,7,6.3.0
MEGALOVANIA,Toby Fox,Present,7.5,7,6.3.0
Your Best Nightmare,Toby Fox,Present,6.5,6,6.3.0
Last Goodbye,Toby Fox,Present,6.5,6,6.3.0
MEGALOVANIA (Camellia Remix),Camellia,Past,5.5,5,6.3.0
Placebo♥Battler,OSTER project,Past,5.5,5,6.3.0
Death By Glamour,Toby Fox,Present,5.0,5,6.3.0
Heartache,Toby Fox,Present,4.5,4,6.3.0
MEGALOVANIA,Toby Fox,Past,4.5,4,6.3.0
Your Best Nightmare,Toby Fox,Past,3.5,3,6.3.0
Death By Glamour,Toby Fox,Past,2.5,2,6.3.0
Last Goodbye,Toby Fox,Past,2.5,2,6.3.0
Heartache,Toby Fox,Past,1.5,1,6.3.0
Aether Crest: Astral,void (Mournfinale) × 水野健治,Eternal,11.5,11,6.2.6
Aether Crest: Astral,void (Mournfinale) × 水野健治,Future,10.6,10,6.2.6
Aether Crest: Astral,void (Mournfinale) × 水野健治,Present,8.9,8+,6.2.6
Aether Crest: Astral,void (Mournfinale) × 水野健治,Past,6.0,6,6.2.6
ViRTUS,Hiro,Eternal,10.9,10+,6.2.0
Straight into the lights,Cosmograph,Eternal,10.5,10,6.2.0
BREaK! BREaK! BREaK!,HiTECH NINJA vs Cranky,Eternal,10.3,10,6.2.0
ViRTUS,Hiro,Future,9.9,9+,6.2.0
yomibito_shirazu,Limonène (サノカモメ+月島春果),Future,9.8,9+,6.2.0
Straight into the lights,Cosmograph,Future,9.5,9,6.2.0
BREaK! BREaK! BREaK!,HiTECH NINJA vs Cranky,Future,8.8,8+,6.2.0
ViRTUS,Hiro,Present,8.6,8,6.2.0
yomibito_shirazu,Limonène (サノカモメ+月島春果),Present,8.0,8,6.2.0
Straight into the lights,Cosmograph,Present,7.5,7,6.2.0
BREaK! BREaK! BREaK!,HiTECH NINJA vs Cranky,Present,6.5,6,6.2.0
ViRTUS,Hiro,Past,5.5,5,6.2.0
yomibito_shirazu,Limonène (サノカモメ+月島春果),Past,4.5,4,6.2.0
Straight into the lights,Cosmograph,Past,4.0,4,6.2.0
BREaK! BREaK! BREaK!,HiTECH NINJA vs Cranky,Past,3.5,3,6.2.0
DA'AT -The First Seeker of Souls-,水野健治 VS 大国奏音,Future,10.9,10+,6.1.0
8-EM,Sampling Masters AYA,Eternal,10.3,10,6.1.0
BlazinG AIR,kanone,Eternal,10.1,10,6.1.0
Ignition,パソコン音楽クラブ,Future,9.8,9+,6.1.0
8-EM,Sampling Masters AYA,Future,9.5,9,6.1.0
BlazinG AIR,kanone,Future,8.9,8+,6.1.0
DA'AT -The First Seeker of Souls-,水野健治 VS 大国奏音,Present,8.4,8,6.1.0
8-EM,Sampling Masters AYA,Present,7.8,7+,6.1.0
BlazinG AIR,kanone,Present,6.5,6,6.1.0
Ignition,パソコン音楽クラブ,Present,6.0,6,6.1.0
DA'AT -The First Seeker of Souls-,水野健治 VS 大国奏音,Past,5.5,5,6.1.0
8-EM,Sampling Masters AYA,Past,4.5,4,6.1.0
BlazinG AIR,kanone,Past,3.5,3,6.1.0
Ignition,パソコン音楽クラブ,Past,3.5,3,6.1.0
Designant.,Designant,Beyond,11.9,11+,6.0.0
Lament Rain,Ashrount vs. 打打だいず,Beyond,11.4,11,6.0.0
Breach of Faith,Supire feat.eili,Beyond,10.9,10+,6.0.0
Designant.,Designant,Future,10.9,10+,6.0.0
And Revive The Melody,黒魔,Future,10.9,10+,6.0.0
Don't Fight The Music,黒魔,Eternal,10.7,10+,6.0.0
Lament Rain,Ashrount vs. 打打だいず,Future,10.6,10,6.0.0
Astral Quantization,Dj Grimoire,Future,10.6,10,6.0.0
Rays of Remnant,May × Felysrator,Beyond,10.4,10,6.0.0
Breach of Faith,Supire feat.eili,Future,10.3,10,6.0.0
SUPER AMBULANCE,AJURIKA,Future,10.3,10,6.0.0
Renegade,sky_delta,Beyond,10.2,10,6.0.0
Swan Song,void (Mournfinale),Future,9.9,9+,6.0.0
LiftOff,MAYA AKAI,Eternal,9.8,9+,6.0.0
Rays of Remnant,May × Felysrator,Future,9.7,9+,6.0.0
Renegade,sky_delta,Future,9.6,9,6.0.0
Designant.,Designant,Present,9.6,9,6.0.0
astral.exe,Synzak & Laxeno57,Future,9.5,9,6.0.0
Don't Fight The Music,黒魔,Future,9.3,9,6.0.0
Lament Rain,Ashrount vs. 打打だいず,Present,8.8,8+,6.0.0
And Revive The Melody,黒魔,Present,8.5,8,6.0.0
Breach of Faith,Supire feat.eili,Present,8.4,8,6.0.0
LiftOff,MAYA AKAI,Future,8.2,8,6.0.0
Astral Quantization,Dj Grimoire,Present,8.1,8,6.0.0
Renegade,sky_delta,Present,7.8,7+,6.0.0
Don't Fight The Music,黒魔,Present,7.8,7+,6.0.0
Swan Song,void (Mournfinale),Present,7.5,7,6.0.0
Rays of Remnant,May × Felysrator,Present,7.5,7,6.0.0
SUPER AMBULANCE,AJURIKA,Present,7.5,7,6.0.0
Designant.,Designant,Past,7.5,7,6.0.0
LiftOff,MAYA AKAI,Present,6.5,6,6.0.0
Lament Rain,Ashrount vs. 打打だいず,Past,6.5,6,6.0.0
astral.exe,Synzak & Laxeno57,Present,6.0,6,6.0.0
Breach of Faith,Supire feat.eili,Past,5.5,5,6.0.0
And Revive The Melody,黒魔,Past,5.5,5,6.0.0
Astral Quantization,Dj Grimoire,Past,5.0,5,6.0.0
Renegade,sky_delta,Past,4.5,4,6.0.0
Rays of Remnant,May × Felysrator,Past,4.5,4,6.0.0
SUPER AMBULANCE,AJURIKA,Past,4.5,4,6.0.0
Don't Fight The Music,黒魔,Past,4.5,4,6.0.0
Swan Song,void (Mournfinale),Past,3.0,3,6.0.0
LiftOff,MAYA AKAI,Past,3.0,3,6.0.0
astral.exe,Synzak & Laxeno57,Past,3.0,3,6.0.0
Dies irae,お月さま交響曲,Eternal,10.6,10,5.10.6
Spirit of the Dauntless,KO3 & Relect,Future,10.5,10,5.10.6
Third Sun,Ash Astral,Eternal,10.0,10,5.10.6
Crimson Quartz,DiGiTAL WiNG with 空音,Eternal,9.8,9+,5.10.6
Dies irae,お月さま交響曲,Future,9.5,9,5.10.6
Third Sun,Ash Astral,Future,9.4,9,5.10.6
Prayer,qfeileadh&レゾナンスもえこ,Eternal,9.1,9,5.10.6
Crimson Quartz,DiGiTAL WiNG with 空音,Future,8.8,8+,5.10.6
Prayer,qfeileadh&レゾナンスもえこ,Future,8.2,8,5.10.6
Spirit of the Dauntless,KO3 & Relect,Present,7.8,7+,5.10.6
Dies irae,お月さま交響曲,Present,7.5,7,5.10.6
Third Sun,Ash Astral,Present,7.0,7,5.10.6
Crimson Quartz,DiGiTAL WiNG with 空音,Present,6.0,6,5.10.6
Prayer,qfeileadh&レゾナンスもえこ,Present,5.5,5,5.10.6
Dies irae,お月さま交響曲,Past,4.5,4,5.10.6
Spirit of the Dauntless,KO3 & Relect,Past,4.5,4,5.10.6
Third Sun,Ash Astral,Past,3.5,3,5.10.6
Crimson Quartz,DiGiTAL WiNG with 空音,Past,3.0,3,5.10.6
Prayer,qfeileadh&レゾナンスもえこ,Past,2.5,2,5.10.6
Gensou no Satellite,豚乙女,Eternal,10.1,10,5.10.4
Hailstone,Kazki Misora,Future,9.7,9+,5.10.4
FURETE-MITAI,みきとP,Eternal,9.4,9,5.10.4
Saint or Sinner,crayvxn,Future,8.8,8+,5.10.4
Gensou no Satellite,豚乙女,Future,8.7,8+,5.10.4
FURETE-MITAI,みきとP,Future,8.4,8,5.10.4
Hailstone,Kazki Misora,Present,7.0,7,5.10.4
Gensou no Satellite,豚乙女,Present,6.5,6,5.10.4
FURETE-MITAI,みきとP,Present,6.0,6,5.10.4
Saint or Sinner,crayvxn,Present,6.0,6,5.10.4
Hailstone,Kazki Misora,Past,3.5,3,5.10.4
Saint or Sinner,crayvxn,Past,3.0,3,5.10.4
FURETE-MITAI,みきとP,Past,2.5,2,5.10.4
Gensou no Satellite,豚乙女,Past,2.5,2,5.10.4
Rain of Conflict in a Radiant Abyss,ak+q,Eternal,10.5,10,5.10.2
Rain of Conflict in a Radiant Abyss,ak+q,Future,9.5,9,5.10.2
Rain of Conflict in a Radiant Abyss,ak+q,Present,7.8,7+,5.10.2
Rain of Conflict in a Radiant Abyss,ak+q,Past,5.0,5,5.10.2
Vulcānus,Team Grimoire vs Aoi,Future,10.9,10+,5.10.0
Inverted World,ARForest,Eternal,10.7,10+,5.10.0
MVURBD,ETIA.,Future,10.6,10,5.10.0
Dual Doom Deathmatch,Kobaryo vs HyuN,Eternal,10.3,10,5.10.0
Waltz for Lorelei,Sobrem & 庭師,Eternal,9.8,9+,5.10.0
epitaxy,Camellia,Eternal,9.6,9,5.10.0
Inverted World,ARForest,Future,9.5,9,5.10.0
Dual Doom Deathmatch,Kobaryo vs HyuN,Future,8.9,8+,5.10.0
Waltz for Lorelei,Sobrem & 庭師,Future,8.8,8+,5.10.0
epitaxy,Camellia,Future,8.6,8,5.10.0
Vulcānus,Team Grimoire vs Aoi,Present,8.5,8,5.10.0
MVURBD,ETIA.,Present,7.8,7+,5.10.0
Inverted World,ARForest,Present,7.0,7,5.10.0
Dual Doom Deathmatch,Kobaryo vs HyuN,Present,6.5,6,5.10.0
epitaxy,Camellia,Present,6.0,6,5.10.0
Waltz for Lorelei,Sobrem & 庭師,Present,5.5,5,5.10.0
Vulcānus,Team Grimoire vs Aoi,Past,5.5,5,5.10.0
MVURBD,ETIA.,Past,4.5,4,5.10.0
Dual Doom Deathmatch,Kobaryo vs HyuN,Past,3.5,3,5.10.0
Inverted World,ARForest,Past,3.0,3,5.10.0
epitaxy,Camellia,Past,3.0,3,5.10.0
Waltz for Lorelei,Sobrem & 庭師,Past,2.5,2,5.10.0
ALTER EGO,Yuta Imai vs Qlarabelle,Eternal,11.3,11,5.9.0
ALTER EGO,Yuta Imai vs Qlarabelle,Future,10.5,10,5.9.0
Judgement,Tatsunoshin,Future,10.5,10,5.9.0
Ashen 6oundary,YUKIYANAGI,Future,9.9,9+,5.9.0
Hypnotize,rejection,Eternal,9.9,9+,5.9.0
Distortion Human,DJ Myosuke & KAJI,Future,9.9,9+,5.9.0
shrink,Shohei Tsuchiya(ZUNTATA),Future,9.8,9+,5.9.0
In Vain,ryhki,Future,9.5,9,5.9.0
ALTER EGO,Yuta Imai vs Qlarabelle,Present,9.2,9,5.9.0
Hypnotize,rejection,Future,8.9,8+,5.9.0
Judgement,Tatsunoshin,Present,8.6,8,5.9.0
Ashen 6oundary,YUKIYANAGI,Present,7.8,7+,5.9.0
shrink,Shohei Tsuchiya(ZUNTATA),Present,7.0,7,5.9.0
Hypnotize,rejection,Present,7.0,7,5.9.0
Distortion Human,DJ Myosuke & KAJI,Present,6.5,6,5.9.0
In Vain,ryhki,Present,6.5,6,5.9.0
ALTER EGO,Yuta Imai vs Qlarabelle,Past,6.5,6,5.9.0
Judgement,Tatsunoshin,Past,5.5,5,5.9.0
Ashen 6oundary,YUKIYANAGI,Past,4.5,4,5.9.0
Hypnotize,rejection,Past,3.5,3,5.9.0
In Vain,ryhki,Past,3.5,3,5.9.0
shrink,Shohei Tsuchiya(ZUNTATA),Past,3.5,3,5.9.0
Distortion Human,DJ Myosuke & KAJI,Past,3.0,3,5.9.0
Black MInD,COSIO,Future,10.8,10+,5.8.0
10pt8ion,Lite Show Magic,Eternal,10.5,10,5.8.0
STARGATE EXTREME,KARUT,Eternal,9.9,9+,5.8.0
HYPER VISION,VOLTA,Future,9.8,9+,5.8.0
10pt8ion,Lite Show Magic,Future,9.8,9+,5.8.0
STARGATE EXTREME,KARUT,Future,9.3,9,5.8.0
"Sign of ""10.5km""",渡部恭久,Future,9.2,9,5.8.0
Black MInD,COSIO,Present,8.0,8,5.8.0
10pt8ion,Lite Show Magic,Present,7.8,7+,5.8.0
HYPER VISION,VOLTA,Present,7.5,7,5.8.0
"Sign of ""10.5km""",渡部恭久,Present,6.5,6,5.8.0
STARGATE EXTREME,KARUT,Present,6.0,6,5.8.0
Black MInD,COSIO,Past,5.0,5,5.8.0
HYPER VISION,VOLTA,Past,4.5,4,5.8.0
10pt8ion,Lite Show Magic,Past,4.0,4,5.8.0
